Id,Name,Age,NumberPhone,InBlackList,JobPosition,Id,Value,TypeCurrency,StartDateWork,EndDateWork,PassportId
da79367b-8851-4d8a-b162-251a32da3097,Шаров Лаврентий,41,751-1028-495,False,Trainee,69dc2033-f38f-4ede-8555-4b65a16a9b6d,7356,MDL,12/04/2011 00:00:00,12/01/2026 00:00:00,04b931e5-eb3f-4a68-9ae8-fc915580c3c9
cf4f8d89-eadd-4897-a337-03fabbfa9919,Шубина Регина,20,576-1380-529,False,Director,b76a2490-5319-48f5-a96c-ef4bb9875dd5,29411.76,USD,12/30/2005 00:00:00,12/15/2024 00:00:00,a87f62ce-8100-4beb-a655-09ddf662c519
4c67d73c-7d5f-467c-b141-8f2ee5655bb4,Смирнова Алина,19,405-5969-802,False,Trainee,1482372a-b442-4ab4-bd6a-b61c28cddfd3,8240,MDL,03/20/2008 00:00:00,03/09/2026 00:00:00,fe5a7648-114a-48e2-9f17-fdb99de3b87e
a9cb2238-ec00-4ccf-b86c-3b2a81cc9c9d,Фролова Антонина,31,327-4236-599,False,Cashier,8f1ff2d6-427a-4e57-8e5f-8fa9796152c1,12562,MDL,12/13/2004 00:00:00,04/29/2024 00:00:00,06eea207-b702-4f31-af5f-38075851f489
538bedaf-77f8-4ad2-9ee5-133bb6ce69e8,Котова Василиса,31,948-8616-417,True,Security,89ce53ce-f74e-4049-8a89-dbfacf25f04f,6264,USD,08/19/2009 00:00:00,03/12/2025 00:00:00,6b13b2a1-5224-4206-87fe-40799659fabf
a0ebe022-2d7b-4623-ab4b-26d86ef55297,Артемьев Иван,36,485-3224-895,False,Cashier,add95faf-cc81-446e-8699-369b1344a235,3045,EUR,10/06/2006 00:00:00,08/12/2025 00:00:00,c633ef5d-31c2-4c93-b997-d738f88aebea
4a8aa646-e739-44b9-a930-ff0f9f837c6e,Александрова Ульяна,30,112-9716-252,False,Cashier,c89fe5a3-098b-4621-bab7-16ea60591b80,13988,MDL,08/09/2017 00:00:00,10/31/2025 00:00:00,d2744ab0-62d4-4935-a1f2-fa4058c9d3c4
127204a0-7038-4073-b856-9b9a53ab9173,Сазонова Алина,27,120-8849-356,False,Cashier,cee2a72a-b700-40c7-b944-04a56b6b7632,8657,USD,10/22/2010 00:00:00,03/12/2025 00:00:00,04ff86ef-ee5f-48ce-b9bf-360bcafbdb20
b69c2c8f-278c-4d95-a0b0-68a2d7639d9f,Архипов Михаил,23,038-0004-466,False,Trainee,746d6c16-b18b-444e-bc9d-7ff6b90ddbd5,7854,EUR,06/22/2022 00:00:00,04/15/2024 00:00:00,a3283e24-5c71-4df7-b10c-460010d194cb
2b28b294-0078-412b-b574-49a5047e078e,Зайцев Александр,21,783-4523-441,False,Security,86e54567-79d3-4567-8278-636250ba45dd,12728,USD,03/04/2012 00:00:00,12/15/2026 00:00:00,6a3be777-6011-4092-9a60-750fa848bc85
47d859bb-4500-4086-ad52-21318db9620e,Цветков Лука,31,262-3914-209,True,Trainee,6b62e8c3-57d1-4e70-8128-7b5ed5314b1e,2320,MDL,05/22/2015 00:00:00,02/02/2024 00:00:00,3e997e9b-38f1-461b-aeaa-6e2e25949b70
06bfc91f-9da0-4d5f-83ac-a5c9b631f809,Мухина Галина,28,628-8848-373,False,Cashier,2fb95698-0315-46de-86c2-8cc5acf7f2f2,9843,EUR,11/18/2011 00:00:00,01/02/2025 00:00:00,34772f06-1e12-4d57-ab66-2fa2e8371bc1
b5844eb2-842f-46e8-8952-6c95c64d2145,Григорьев Ярослав,21,748-0084-004,False,Security,0fb19c9c-a2a8-4097-ba98-8531e1f230b7,2663,MDL,06/23/2006 00:00:00,04/30/2026 00:00:00,a1c68c23-a957-4c26-8668-de2bcdc50f9e
96324cab-6ab4-4d8d-b5d5-b745bdfd3764,Крюкова Алёна,21,853-3871-155,False,Security,21c62420-2f1b-4c91-b58a-1535d2adffc0,2916,USD,04/27/2017 00:00:00,04/04/2025 00:00:00,04f84b23-e27b-4cb3-9ef3-45bdba424aa2
43744b08-1b47-4d05-bf53-5cd1bbbba309,Ларионов Валентин,23,605-1984-279,False,Trainee,7d1ea217-0a61-4611-abca-bbe07817a108,4335,USD,08/25/2004 00:00:00,06/09/2026 00:00:00,988b8142-c6bf-4942-9657-da464a82892d
d850bc86-9984-453b-ad47-2dc50636d222,Власов Геннадий,38,074-3622-587,True,Security,248e2182-7dc7-49ce-87c9-f280736f6abe,2466,USD,11/18/2012 00:00:00,09/12/2026 00:00:00,1a547b0f-5a7a-44a0-b212-9beceb4b834b
f3755bdc-164c-4caf-a369-7f075a008a4b,Носов Арсений,42,824-1285-448,False,Security,6eda80ea-6cfb-4c41-ba3d-98edc350be29,1211,MDL,06/30/2020 00:00:00,10/29/2024 00:00:00,24155cf8-bb33-41ff-a4fe-014405aa1ec6
c7a23f08-b1ba-4cc0-95e2-7cc7b5e24ec8,Носов Антон,34,924-2613-134,False,Cashier,d5ab74d0-1ec2-43c3-86d2-c4b212af89e0,4095,EUR,01/29/2023 00:00:00,11/07/2026 00:00:00,e855d230-4239-40be-8aa3-cf2559204cbd
d5a84f61-9297-45b4-9b26-5cb735563cc6,Уварова Любовь,22,352-0273-624,False,Trainee,ff74aa5c-2065-4a41-a653-ae324ad78690,8550,MDL,07/09/2009 00:00:00,11/24/2026 00:00:00,5aa34846-741f-43c5-b5df-6ce3bdfc2b5b
