Id,Name,Age,Phone,InBlackList,PassportId
9fa121d3-a2b7-44d7-93a7-2e97f30e5017,Суворова Вероника,24,426-8356-942,False,0589a8b7-a864-45a1-932c-92ba3e715003
038ba921-e896-4c6d-83f2-4843b24affec,Зуева Нина,20,049-9831-214,False,6db45a50-3ca7-4433-acb8-4cfedbc6127f
10d35fcb-71ae-47ca-8573-4f3ac11113da,Капустин Егор,28,944-3535-900,False,04270072-2549-4161-8c57-249b13aa3435
19218e0b-0a72-4f10-b461-08c98da8e8d0,Лобанов Сергей,24,083-7846-839,False,fb8993f1-2eb7-408c-9ae7-d4ca2f85a2d2
9711b9aa-f77d-43dd-b89b-9f76abfb831d,Агафонов Юрий,39,603-7825-322,False,59f14134-4b3a-4caa-9783-78d9e584dbfc
23e0e5b8-ebdf-4fde-a8c7-bd6932d4d856,Агафонова Валерия,19,793-0299-282,False,2e469681-e172-4a57-a7b9-ffe5ed3f5c2c
916e7ddc-4ebd-4d40-bf38-e6423a90ad28,Федоров Евгений,21,854-9833-307,False,48971abc-a67a-45e4-bd73-48f29f408d9a
1a2588de-74ee-46e8-a469-75dba6923c03,Муравьев Георгий,20,072-5685-107,False,e5a3868d-6153-45c2-91f9-04d8bab79c29
542932f3-6bcc-470b-b000-8794da6ead09,Емельянов Георгий,22,971-7572-075,False,de4b66ad-9cdb-4b21-9b7a-dfb883b88ad1
b5f2e1ed-d9a2-4a0f-ae4a-f3694d93399b,Миронов Герман,26,245-7912-568,False,90ec0f10-ff41-42a1-94ee-49e080b7a0ca
82fa7fa1-83bf-4122-a03e-44a51de0a6ae,Буров Герман,40,679-8107-664,False,71351792-4938-4948-a897-623e0805b3a4
e5b1037e-c539-430c-bcf6-ab4a702b0646,Хохлов Роман,36,783-1723-097,False,b36a1f79-63ce-40de-95b6-d93d59653380
8999ae81-cd62-48f8-b481-ff0f869c9b7c,Громов Виталий,41,242-9729-084,False,2b008fa2-1465-4e24-b106-df049d5ec61d
a1c30214-7b49-429f-a5f2-16b0b300b92e,Калинина Анжела,43,050-7145-871,False,64ead88e-0233-41b9-953b-67e3f2d8e15a
55f03e27-d674-4814-9749-55fb3e88661d,Миронов Василий,40,788-0180-280,False,69450f01-7ecf-489b-a728-07a3a363404c
30a647b1-962b-4b09-8078-5cebff9a38cb,Морозов Андрей,37,146-1677-607,False,4d3fc716-fe04-4824-80f0-7cea2a1cc101
e015b7ed-24c1-4e89-98dd-2bfa0d4c1168,Бирюков Сергей,34,328-1725-176,False,4e7b0f65-0dc6-444e-b0fd-9f989b7df2fc
9ee569ec-a471-4952-ba92-fcb727872518,Зиновьев Матвей,34,862-3913-128,False,47e50705-a0f8-4cc2-9a5e-355bdb4c87e1
c98dcf0c-8752-4741-b17e-9fbe90cf1536,Егорова Ангелина,20,497-0474-443,False,1ad16cb0-7d4b-4a8f-9dd2-072898ea789a
f8f3a8c3-6dd3-4977-8137-8346f9eea2fb,Лукина Ксения,20,289-9780-359,False,e96b4d23-306f-4427-986d-64c214d4e6e9
4325308d-a3b7-44dd-abe3-4c002a980ccb,Ширяев Лука,31,220-5058-999,False,18f3f27e-3d27-40bc-8293-4196e252ae06
5d6957e5-3d35-475b-8078-45638ab086ce,Федотова Лариса,22,080-5578-109,False,612a0f26-f65a-4083-9bdb-0afa78f69871
bb9e193d-0200-4cc6-86b6-9950573a4f4f,Пономарев Матвей,38,888-6213-518,False,cc063bff-1fd5-491d-bec9-584510586e9c
